Match;1;Team1;DE;Score;302;Team2;THotS;Score;285
Name;A;K;D;N;Name;A;K;D;N
Toni;11;13;8;-84;rise;15;12;12;137
hobo;13;8;8;-231;Bax;13;11;7;281
Ragnor;17;7;12;65;ClydeFrog;14;5;10;-375
Match;2;Team1;DE;Score;231;Team2;THotS;Score;300
Name;A;K;D;N;Name;A;K;D;N
Toni;14;5;11;-439;rise;14;11;6;422
hobo;12;3;8;-288;Bax;15;13;9;333
Ragnor;7;14;11;355;ClydeFrog;8;2;9;-590
Match;3;Team1;DE;Score;253;Team2;THotS;Score;300
Name;A;K;D;N;Name;A;K;D;N
Toni;13;8;11;-378;rise;16;12;10;316
hobo;10;6;8;-199;Bax;15;16;6;972
Ragnor;13;10;14;-309;ClydeFrog;12;4;9;-509
