Match;1;Team1;STD;Score;266;Team2;CUNTS;Score;240
Name;S;K;D;N;Name;S;K;D;N
Helgore;5;5;6;-215;muSe;10;10;5;276
Electrino;5;5;8;159;leagman1;7;8;7;56
Wookie;4;5;9;-345;Divide;3;4;5;-285
Match;2;Team1;STD;Score;267;Team2;CUNTS;Score;274
Name;S;K;D;N;Name;S;K;D;N
Helgore;6;6;5;-28;muSe;11;12;5;114
Electrino;7;7;8;-127;leagman1;6;6;7;-4
Akolyth;3;3;8;-318;Divide;3;3;5;146
Match;3;Team1;STD;Score;240;Team2;CUNTS;Score;263
Name;S;K;D;N;Name;S;K;D;N
Helgore;3;4;5;4;muSe;7;7;6;236
Electrino;11;11;8;91;leagman1;8;8;6;37
Akolyth;3;3;7;-387;Divide;4;4;6;-144
